UID,Humidity,Temperature,Age,Quantity,MTTF 
75,85.95,69.19,4,28059,408
76,30.17,62.84,1,57567,292
77,91.31,70.58,4,34949,548
78,16.03,77.05,9,39663,547
79,17.02,46.93,9,73592,94
80,89.91,43.47,14,37085,394
81,5.51,77.71,2,51936,136
82,10.18,46.07,11,32413,406
83,90.92,72.42,5,35662,341
84,33.58,93.49,10,42238,386
85,89.84,46.32,10,68919,98
86,15.66,78.99,7,77554,133
87,89.6,51.07,10,31326,541
88,73.78,82.86,14,50015,558
89,49.6,61.7,12,60006,77
90,84.4,44.05,14,61247,81
91,20.91,91.56,14,79099,545
92,62.51,60.31,3,53137,231
93,34.29,43.18,8,32675,285
94,67.08,66.17,7,40558,516
95,60.35,44.01,14,65834,482
96,19.29,74.85,4,39627,492
97,61.57,84.73,2,43981,245
98,70.0,42.14,5,71077,140
99,5.57,68.13,15,36200,212
100,58.45,78.56,11,37208,354
101,96.67,37.97,5,29514,540
102,72.62,64.76,10,27079,494
103,9.38,46.04,9,67369,271
104,87.56,73.27,2,70319,83
105,65.02,59.9,17,60703,507
106,92.93,45.57,10,63625,325
107,35.94,80.52,15,56625,432
108,44.6,70.71,3,48694,510
109,87.97,90.5,14,49320,166
110,5.88,60.54,17,49276,170
111,89.18,77.83,2,46906,68
112,9.14,94.38,12,58227,419
113,57.77,59.0,15,71963,271
114,69.38,76.84,15,74722,252
115,88.65,43.1,14,64855,228
116,11.08,41.98,4,63759,548
117,93.17,47.18,16,46724,434
118,76.85,79.99,12,70543,350
119,8.76,47.55,5,79894,566
120,8.28,88.28,13,30062,104
121,26.43,45.05,11,55810,217
122,6.04,49.96,11,61423,555
123,9.34,38.65,13,77936,364
124,51.46,66.02,6,61344,455
125,8.99,42.92,16,65378,520
126,45.82,80.83,3,25747,342
127,85.45,91.67,17,25012,86
128,80.7,89.94,7,25392,496
129,54.8,62.98,7,46677,139
130,61.06,75.51,12,38814,121
131,73.79,85.94,15,40438,155
132,48.88,83.24,2,34607,119
133,99.89,39.57,7,29048,224
134,34.71,65.31,1,55276,566
135,9.75,35.6,10,28780,465
136,21.15,70.64,13,38319,527
137,69.14,64.93,14,51960,550
138,52.8,37.87,15,77522,415
139,27.46,54.83,2,40255,188
140,48.93,61.1,12,64374,247
141,68.52,92.16,10,30432,514
142,43.16,82.54,10,27749,437
143,28.19,44.51,3,40881,261
144,10.31,64.19,2,62126,237
145,44.3,37.85,17,71852,513
146,20.15,48.26,10,44143,452
147,29.56,78.6,8,56482,333
148,73.61,73.24,1,34767,92
149,59.1,39.98,17,71424,549
150,74.99,87.89,11,51449,101
151,20.76,93.88,14,28197,279
152,99.37,57.41,7,34814,337
153,77.3,45.0,5,74589,321
154,88.71,49.3,4,72625,531
155,68.29,69.96,13,26874,157
156,28.82,84.51,10,53484,388
157,42.17,40.28,11,50562,152
158,72.53,76.75,15,57957,353
159,13.46,72.85,3,73648,142
160,85.5,89.87,13,26315,204
161,56.64,47.39,6,70018,497
162,63.85,39.43,14,32979,134
163,38.31,89.51,12,36173,538
164,92.0,63.82,3,27408,496
165,5.75,73.15,9,41349,278
166,27.54,68.48,5,66090,265
167,70.76,62.89,1,49968,467
168,43.06,64.94,1,38014,391
169,81.14,71.25,16,27050,504
170,77.51,81.05,2,48029,240
171,84.61,69.13,11,76070,410
172,10.54,84.75,2,40156,111
173,84.6,75.25,5,67558,390
174,16.46,66.12,9,49216,398
175,69.51,78.88,5,33402,466
176,50.83,79.64,10,37969,260
177,7.56,92.2,11,63966,365
178,19.29,36.9,17,33089,97
179,45.66,46.59,6,25155,325
180,12.58,52.8,5,45181,338
181,25.19,78.82,8,54685,510
182,13.39,55.53,14,58736,371
183,60.34,92.44,6,47988,115
184,30.26,71.07,1,56992,281
185,24.82,88.01,7,41270,354
186,28.73,56.7,15,70744,215
187,32.99,52.23,5,79269,322
188,38.14,82.18,1,77066,141
189,27.59,77.74,7,66480,153
190,90.46,35.18,1,75418,176
191,48.79,86.31,10,43474,149
192,10.92,72.58,2,48408,370
193,40.57,39.82,11,23407,525
194,81.32,73.18,8,66907,224
195,97.2,68.23,5,34342,305
196,29.74,90.08,17,62687,506
197,95.35,71.55,6,30072,176
198,55.94,58.44,11,26758,203
199,98.63,69.7,11,70066,102
200,10.42,53.17,16,65701,115
201,65.17,39.03,16,36847,360
202,20.58,42.24,10,31648,203
203,58.97,90.26,11,69616,471
204,82.78,52.16,11,56908,246
205,50.76,44.02,8,46156,387
206,44.71,94.62,11,51583,317
207,69.93,92.74,8,49666,66
208,75.24,83.93,11,72171,334
209,16.84,87.2,15,29438,285
210,80.1,92.5,12,49653,81
211,90.47,40.5,10,64017,474
212,77.81,45.62,16,30222,435
213,93.73,77.29,7,68763,408
214,23.62,66.74,6,72786,127
215,19.22,80.61,5,70285,532
216,98.6,82.76,4,69233,147
217,40.81,91.6,17,79697,474
218,75.56,66.7,11,37279,267
219,9.43,68.87,9,79288,216
220,83.82,85.83,8,58150,502
221,25.51,67.7,13,79000,469
222,95.83,66.35,10,65310,490
223,93.79,75.39,11,35734,558
224,91.84,81.33,11,54195,570
225,67.18,77.04,12,40057,191
226,18.72,83.09,4,67486,372
227,46.14,88.44,11,72282,565
228,75.12,58.37,8,78282,542
229,55.96,94.55,6,60923,446
230,11.03,92.14,8,64571,262
231,19.77,92.93,11,65815,85
232,52.57,83.7,5,62458,141
233,12.13,49.55,5,49344,295
234,65.1,70.99,6,31133,378
235,13.41,75.88,3,58952,136
236,41.56,59.47,1,40529,115
237,11.17,54.25,12,53438,547
238,89.52,76.15,13,46695,208
239,10.45,63.24,11,66912,249
240,74.22,70.79,8,55031,496
241,54.47,47.23,2,41585,560
242,84.38,74.25,15,61991,412
243,98.84,70.7,11,70407,163
244,58.83,54.75,14,49349,264
245,84.98,82.18,3,55536,225
246,5.0,68.28,7,58226,100
247,79.93,73.87,17,78407,239
248,33.96,57.34,7,31976,326
249,10.98,80.71,12,25597,366
250,51.97,83.22,16,56025,516
251,86.85,50.52,10,32819,344
252,52.75,37.56,1,31731,69
253,82.0,81.23,9,32531,132
254,11.0,62.29,8,36485,265
255,87.58,52.27,17,24771,166
256,84.73,93.18,9,59238,581
257,10.62,74.08,11,46227,446
258,66.23,94.08,14,39727,433
259,20.55,50.63,7,51396,50
260,93.12,67.56,15,45747,535
261,81.03,73.17,10,55080,540
262,5.99,48.56,8,27312,339
263,55.34,64.62,12,54479,439
264,22.45,80.48,10,55696,522
265,56.28,92.09,2,63727,167
266,77.85,68.35,1,48802,316
267,56.87,40.96,9,58569,231
268,38.49,37.58,16,76521,254
269,25.05,58.77,13,60937,312
270,64.44,67.16,6,37030,327
271,19.2,39.47,3,68974,363
272,76.95,37.95,2,38889,276
273,17.32,35.93,13,23952,550
274,18.42,93.27,10,65354,406
275,31.25,94.96,1,28606,80
276,92.48,75.02,4,41289,225
277,42.16,48.61,5,31578,530
278,81.38,62.0,2,32106,396
279,14.35,62.59,5,40057,121
280,70.56,53.81,2,74250,455
281,48.25,44.24,5,77439,162
282,37.2,83.46,10,67129,413
283,42.11,71.71,1,73528,353
284,23.42,69.96,6,60517,410
285,5.43,59.58,2,57670,482
286,56.14,68.16,14,42393,304
287,93.46,69.29,15,61630,438
288,67.0,57.56,9,35254,135
289,18.4,54.64,11,33777,564
290,42.09,36.57,10,46883,306
291,8.76,65.93,14,72892,415
292,78.26,40.47,12,36069,438
293,87.78,35.16,6,40069,385
294,63.19,84.22,4,71398,357
295,60.4,70.16,10,46188,403
296,65.39,35.64,3,67224,157
297,61.99,74.94,17,37484,273
298,15.5,72.73,10,55999,449
299,85.69,35.37,6,64264,134
300,32.9,94.97,6,41736,523
301,14.42,68.6,15,43261,425
302,7.3,53.62,16,76297,486
303,53.17,85.36,16,28114,308
304,75.18,35.63,15,54674,108
305,30.49,66.25,10,78040,105
306,47.65,58.78,6,27635,471
307,33.6,94.25,13,43087,536
308,16.56,90.96,10,57513,230
309,30.23,82.31,3,58043,384
310,17.03,77.54,7,32326,315
311,26.53,62.01,10,46518,312
312,90.0,39.65,12,24989,200
313,99.61,92.38,7,67285,273
314,69.51,53.79,13,51186,387
315,56.92,58.44,10,71537,478
316,89.28,76.72,11,44632,444
317,15.15,72.04,9,35608,332
318,55.01,49.74,10,70995,333
319,52.39,57.5,4,58753,375
320,92.64,55.96,12,77917,380
321,58.14,43.96,1,54162,95
322,32.65,40.25,15,68548,314
323,88.98,44.27,15,33153,352
324,78.65,36.5,14,46320,130
325,47.59,38.47,16,64374,199
326,10.04,94.16,10,70882,530
327,91.6,41.69,4,50122,338
328,48.95,78.17,4,75833,569
329,74.69,88.53,3,30222,298
330,65.43,51.35,4,65588,376
331,84.96,94.83,16,47906,341
332,5.83,94.89,2,30326,179
333,66.86,49.61,14,71393,562
334,85.68,59.38,7,27193,466
335,44.68,65.04,4,74148,446
336,71.96,51.94,10,42371,437
337,96.93,88.94,11,58466,59
338,60.55,58.07,1,67622,376
339,71.6,69.16,8,66322,460
340,81.85,86.39,2,50712,414
341,47.93,56.44,8,68303,151
342,87.53,42.49,12,29612,137
343,71.25,47.75,9,55618,112
344,15.62,43.21,9,44468,546
345,70.49,53.14,17,72976,156
346,43.06,88.97,15,30031,268
347,99.52,70.32,1,38670,469
348,94.31,63.87,4,63868,313
349,80.44,61.74,5,57124,135
350,97.43,70.54,9,29702,115
351,41.56,67.34,3,26942,500
352,88.23,41.68,12,32883,185
353,94.18,63.42,9,38707,445
354,40.6,78.02,6,45072,113
355,70.18,64.23,6,66306,75
356,72.09,46.29,6,74073,473
357,32.82,60.44,13,30777,265
358,74.34,76.13,11,79298,63
359,64.63,72.93,13,25860,421
360,48.53,86.46,2,37762,449
361,37.87,46.86,7,43038,337
362,60.9,87.37,6,36952,555
363,96.98,65.54,5,24459,512
364,62.9,86.69,3,72478,292
365,15.11,73.93,5,29861,298
366,74.49,50.38,12,33802,259
367,17.12,47.08,5,71047,490
368,48.61,56.06,5,60058,388
369,7.46,79.74,6,56127,107
370,58.69,59.3,6,33906,261
371,39.8,87.09,8,38649,241
372,34.62,76.51,9,27955,234
373,60.19,73.16,5,53452,56
374,66.65,74.86,7,47592,151
375,66.18,70.14,12,66022,328
376,63.8,40.9,4,70511,304
377,62.74,91.48,3,69643,74
378,51.01,60.58,8,63581,498
379,19.0,49.74,16,79321,314
380,41.16,69.23,15,38897,481
381,85.46,54.22,13,52551,546
382,48.33,45.04,5,35299,163
383,20.04,38.58,1,75459,196
384,19.38,52.57,3,51691,429
385,76.2,40.98,3,30538,88
386,93.61,72.4,4,33530,131
387,93.02,52.56,10,34443,354
388,15.95,93.79,11,67412,347
389,50.37,53.35,15,24896,331
390,95.24,77.91,16,31852,62
391,56.49,62.18,16,71579,228
392,21.79,67.18,13,60139,189
393,84.9,92.83,13,47597,151
394,6.64,93.62,13,54758,69
395,77.99,73.2,16,26250,531
396,10.04,50.19,8,60008,390
397,5.4,65.03,8,42319,352
398,23.03,35.09,8,65874,184
399,6.92,47.84,6,31056,103
400,24.09,40.57,15,68972,255
401,92.61,91.05,16,74150,421
402,76.57,70.89,17,29561,224
403,69.47,60.85,16,52557,413
404,21.35,87.36,10,51982,417
405,85.18,84.16,14,35845,271
406,50.39,74.57,7,61042,539
407,29.86,73.25,7,61632,372
408,72.56,74.93,13,64755,518
409,8.66,86.48,7,33778,542
410,68.56,88.19,15,68940,145
411,80.84,66.98,16,68777,350
412,61.67,64.4,16,59779,259
413,64.96,74.24,7,25893,526
414,12.88,76.49,12,28234,82
415,90.86,81.85,7,51644,339
416,59.94,55.46,14,35379,417
417,31.9,71.16,10,56118,410
418,54.55,49.55,15,77579,112
419,38.25,58.86,14,50376,174
420,26.16,50.99,6,43905,145
421,77.62,50.83,5,54777,53
422,15.71,83.01,9,26703,59
423,14.32,87.32,1,70829,446
424,5.8,59.25,11,46644,569
425,86.19,93.34,3,34557,111
426,65.41,35.93,5,54380,457
427,59.84,53.74,10,27701,508
428,88.44,63.78,10,65911,62
429,43.22,44.16,4,76534,238
430,89.01,84.56,2,78684,118
431,37.43,80.57,16,67450,217
432,28.23,50.19,9,42811,164
433,25.27,71.32,16,42855,194
434,8.44,53.02,12,50228,287
435,88.78,49.1,7,45303,434
436,99.36,47.18,6,23115,288
437,64.61,93.51,6,29496,289
438,16.26,85.21,7,43627,438
439,22.25,55.54,16,62389,333
440,96.63,37.98,9,57931,372
441,16.61,51.76,3,32147,129
442,95.73,68.86,17,37353,384
443,58.25,70.08,5,76879,53
444,21.18,61.3,14,33230,125
445,7.93,54.29,3,46583,156
446,25.05,82.9,12,31084,550
447,7.93,39.91,13,23937,402
448,81.32,68.42,11,56596,499
449,91.15,82.95,2,47937,90
450,56.82,50.08,13,25846,273
451,41.75,81.6,11,67755,297
452,70.35,53.05,7,64124,193
453,11.65,55.95,13,38933,249
454,59.94,71.15,3,59162,185
455,32.93,57.99,9,64639,90
456,29.0,88.24,15,55814,576
457,52.28,38.99,14,30759,89
458,66.85,47.24,14,67270,119
459,17.01,70.75,8,67337,238
460,62.62,43.4,14,58721,441
461,27.14,39.41,4,29079,479
462,26.66,82.89,14,72767,494
463,30.71,86.75,10,36121,533
464,75.42,45.15,14,40941,366
465,31.4,36.55,9,28707,567
466,58.48,80.86,14,79661,419
467,75.73,69.9,2,64575,514
468,80.13,77.84,11,66689,177
469,71.24,84.42,16,51067,187
470,7.46,89.86,2,26982,441
471,49.73,81.08,9,41487,451
472,8.3,77.82,3,72379,472
473,75.95,83.89,13,43626,239
474,59.41,94.96,4,51626,384
475,74.04,75.55,7,27886,327
476,90.79,36.33,15,49550,107
477,30.99,91.34,16,23058,420
478,41.16,83.66,13,33230,503
479,71.77,84.67,3,37245,116
480,25.8,42.94,14,28768,103
481,42.91,51.71,9,35526,227
482,5.87,82.02,12,49690,544
483,6.42,37.03,5,60035,427
484,13.45,83.16,7,48956,529
485,50.34,35.2,11,63072,386
486,11.12,83.09,13,51932,462
487,8.25,38.94,12,61705,99
488,49.49,58.42,9,57881,393
489,74.41,37.54,5,59502,246
490,13.57,85.19,9,73666,579
491,61.88,35.9,5,57414,412
492,77.89,46.31,13,51905,452
493,39.06,90.34,10,25821,427
494,94.6,81.71,9,73318,480
495,12.65,77.81,10,67996,120
496,23.99,65.11,4,68510,409
497,20.49,63.62,5,37829,425
498,92.81,60.81,9,35402,403
499,6.27,49.97,14,65677,164
500,55.43,49.95,7,41690,394
501,56.13,69.76,9,26273,103
502,97.55,90.53,17,63496,262
503,17.86,50.25,6,47623,65
504,81.07,79.55,10,35918,304
505,98.15,94.82,3,38859,231
506,62.59,59.29,16,28749,508
507,74.94,36.13,6,78053,529
508,25.44,88.29,9,40965,562
509,90.34,61.4,12,62857,174
510,79.74,70.71,8,66525,137
511,41.96,52.62,6,50093,363
512,50.1,63.96,6,49738,383
513,78.2,56.83,14,38940,350
514,47.82,94.19,12,64674,116
515,81.86,62.44,2,23188,347
516,62.49,60.43,4,40028,183
517,53.25,72.99,12,39578,126
518,57.39,88.47,2,32662,553
519,65.56,59.96,13,46723,127
520,75.01,35.57,5,52311,338
521,34.36,63.65,15,71586,395
522,60.29,64.11,9,23724,460
523,96.9,66.58,8,48219,78
524,72.26,81.07,12,69230,276
525,19.63,82.27,1,31714,527
526,67.83,50.27,13,24361,513
527,5.78,88.01,3,26399,341
528,15.0,82.82,9,32399,155
529,31.62,91.77,7,55235,520
530,66.5,72.75,10,30544,539
531,83.98,86.04,9,38474,124
532,98.66,67.37,13,33517,243
533,18.75,45.2,6,42360,262
534,29.6,66.67,11,55383,70
535,46.39,69.09,7,47290,152
536,64.31,88.78,6,26659,534
537,60.61,56.55,11,64172,341
538,90.59,61.21,1,77328,374
539,71.78,60.08,10,38034,227
540,6.51,40.39,4,33289,55
541,15.69,54.26,7,50722,150
542,88.27,78.33,6,60038,409
543,47.78,66.68,4,75025,299
544,94.18,38.05,2,31541,104
545,36.76,49.55,10,54925,269
546,51.89,80.79,2,46224,431
547,28.69,85.75,14,46134,335
548,35.19,87.51,13,79880,165
549,55.97,44.38,14,58479,193
550,77.64,35.02,12,57605,309
551,40.84,37.38,5,76285,162
552,44.52,89.93,4,48873,295
553,8.13,65.0,9,56573,291
554,91.3,51.54,13,79482,354
555,17.51,58.63,7,60864,337
556,19.23,35.38,3,65725,580
557,10.44,56.79,9,68941,252
558,34.54,38.71,8,54557,558
559,91.47,49.36,6,65853,194
560,65.06,59.06,10,79751,341
561,19.1,40.38,14,47033,393
562,77.56,85.37,1,29460,526
563,75.61,38.75,15,52388,399
564,6.2,79.36,13,64130,357
565,39.58,50.1,16,72505,547
566,17.89,58.0,3,51620,171
567,67.32,71.19,3,46661,109
568,9.48,74.88,2,31461,370
569,20.49,46.16,6,41473,260
570,91.3,85.5,3,24090,563
571,12.46,43.69,14,41901,440
572,83.51,59.63,2,60834,527
573,12.42,64.93,8,54383,151
574,11.96,82.26,14,60558,182
575,17.2,85.54,2,79671,549
576,53.29,48.01,15,69034,123
577,77.9,49.84,15,68036,148
578,84.28,94.83,13,43805,490
579,94.79,37.52,16,30052,568
580,80.51,71.15,4,55313,148
581,39.21,57.57,10,61793,569
582,65.12,67.11,16,31636,138
583,42.13,66.18,13,38485,157
584,14.31,82.78,1,33843,205
585,40.8,79.53,8,62185,381
586,80.19,84.08,11,27242,204
587,19.4,87.56,9,73729,124
588,32.51,69.29,13,64427,154
589,82.26,78.77,4,75889,187
590,11.65,87.99,2,32710,526
591,17.14,58.19,14,78260,480
592,67.4,41.66,13,32417,232
593,13.15,42.39,6,59787,56
594,56.68,78.01,15,48660,244
595,21.53,82.0,13,73822,341
596,11.65,89.66,5,37607,97
597,19.56,76.83,8,27465,292
598,81.61,47.41,17,76990,249
599,74.76,51.06,5,67298,273
600,62.86,76.21,14,75117,556
601,99.88,83.75,3,43335,280
602,14.52,36.31,4,75607,437
603,69.77,91.37,12,45756,115
604,55.23,64.92,2,42225,54
605,97.57,90.09,12,39025,162
606,81.38,41.12,5,42400,550
607,7.02,49.41,3,66638,352
608,62.39,64.48,17,37527,138
609,15.82,44.59,8,42918,287
610,52.17,62.41,14,46506,131
611,34.89,76.25,4,29082,433
612,26.76,90.75,17,23914,412
613,88.9,78.39,2,50028,163
614,42.88,38.93,2,27622,497
615,86.96,69.91,12,31054,493
616,35.01,93.04,17,36311,308
617,28.32,88.27,5,23511,283
618,94.96,58.73,6,44340,394
619,44.28,56.69,14,50096,466
620,54.75,55.31,3,23440,115
621,8.09,94.81,14,78895,187
622,34.45,70.41,12,41228,563
623,90.76,89.39,2,61148,437
624,89.29,89.99,15,24701,269
625,15.26,46.74,13,67373,79
626,35.02,55.34,4,52945,391
627,81.62,81.44,10,72902,227
628,33.86,42.16,8,36126,388
629,26.14,55.2,15,76011,439
630,52.1,91.74,14,51342,482
631,49.27,72.76,16,25323,181
632,6.31,64.64,8,29277,79
633,57.98,37.34,6,43829,232
634,39.38,53.83,3,40010,401
635,51.82,47.03,5,30785,77
636,59.31,36.17,8,54093,203
637,53.95,37.05,6,67483,488
638,57.36,57.71,6,56022,390
639,27.11,61.07,7,53082,293
640,99.15,49.4,5,40336,224
641,61.93,87.94,17,40471,239
642,75.09,89.61,3,37481,313
643,40.54,35.71,11,35367,433
644,74.53,41.31,13,44432,301
645,26.21,51.64,3,69954,354
646,7.75,60.74,6,39768,583
647,52.24,35.7,3,57964,427
648,72.23,38.67,5,77845,289
649,69.9,76.69,13,65959,236
650,7.47,81.71,7,29235,572
651,70.72,79.1,4,60033,303
652,10.82,88.23,16,54519,317
653,91.47,80.86,9,24734,540
654,35.75,58.13,11,24943,321
655,43.57,66.41,6,79268,145
656,82.54,42.52,11,56145,457
657,95.63,37.22,5,56693,416
658,47.22,72.88,3,43104,497
659,15.39,38.71,9,68315,230
660,16.37,55.18,17,70499,172
661,72.62,44.32,6,60314,52
662,91.77,52.53,16,56025,405
663,42.01,95.0,16,70860,310
664,5.77,54.49,10,39867,518
665,83.23,73.49,5,44007,475
666,29.6,75.0,6,47417,228
667,80.58,74.14,11,31532,550
668,41.38,68.17,9,47180,452
669,49.2,58.71,8,71787,408
670,36.68,76.87,2,23038,243
671,18.75,36.63,9,46106,496
672,65.07,62.36,11,68911,100
673,49.91,52.4,7,32644,269
674,22.55,92.72,14,38890,364
675,45.72,36.58,10,64600,359
676,71.9,90.87,1,53799,435
677,84.28,50.13,1,33011,474
678,81.73,80.89,12,79513,357
679,11.17,73.91,12,29701,555
680,94.01,80.3,14,79720,207
681,46.11,59.37,4,64308,568
682,64.13,50.54,4,44245,344
683,49.66,80.65,4,63470,304
684,68.43,92.04,15,44329,522
685,16.8,49.35,16,49765,439
686,81.97,90.43,9,54714,132
687,88.84,40.17,9,63370,202
688,8.43,55.16,13,47605,575
689,34.11,90.01,8,42233,88
690,69.98,78.43,11,56274,527
691,61.3,86.66,12,41965,490
692,17.1,43.88,17,69765,110
693,22.57,75.69,16,66197,318
694,64.85,59.42,1,27632,383
695,26.93,66.01,4,46343,67
696,41.13,51.82,2,26725,362
697,87.56,94.29,2,79091,70
698,20.94,73.8,6,67738,550
699,73.67,86.37,12,57452,533
700,49.42,60.9,6,34940,58
701,60.21,39.08,10,31758,185
702,76.68,60.87,5,40204,466
703,65.39,94.75,9,23854,581
704,82.39,68.86,17,57795,245
705,65.43,71.35,4,65608,288
706,55.09,53.48,11,51106,324
707,34.51,75.68,13,62351,87
708,55.59,70.91,2,63972,99
709,65.81,87.99,13,68048,452
710,57.5,37.87,15,28609,234
711,37.86,78.34,13,26501,156
712,76.98,40.8,11,52588,196
713,83.4,84.56,5,50683,270
714,67.2,86.29,13,29237,365
715,81.09,79.53,10,23390,263
716,6.99,93.18,3,68591,196
717,77.48,56.62,10,59625,411
718,29.54,80.66,2,36497,250
719,15.76,35.79,4,45163,290
720,19.56,80.04,12,63127,534
721,14.93,73.9,11,64172,234
722,31.09,35.19,3,34642,252
723,60.09,52.25,3,28132,299
724,87.0,64.84,12,76504,60
725,40.65,55.52,3,72946,433
726,66.28,59.04,8,24401,265
727,49.53,37.41,13,41611,512
728,57.02,38.92,12,26786,414
729,72.25,78.52,10,38736,229
730,77.34,49.1,16,61912,476
731,82.75,73.59,5,75978,471
732,37.98,44.0,5,75198,271
733,89.74,38.28,5,44467,161
734,22.06,81.52,13,39144,403
735,81.56,40.73,6,52691,530
736,31.59,80.29,8,39694,495
737,48.35,73.29,9,67716,177
738,38.61,93.07,16,63075,508
739,66.66,50.51,11,53708,342
740,76.97,67.32,9,74702,496
741,11.32,86.68,16,75051,262
742,35.64,58.9,17,47593,121
743,83.96,62.54,8,34409,314
744,24.65,48.44,16,73175,412
745,95.47,35.41,15,26033,424
746,96.06,81.66,14,27552,234
747,88.55,75.36,11,70473,550
748,18.85,51.95,5,48944,274
749,38.55,77.97,7,29206,277
750,9.78,84.57,2,71426,226
751,66.78,49.95,9,69090,198
752,32.94,93.87,16,69619,148
753,94.68,38.5,2,58135,100
754,64.09,82.67,9,66139,87
755,53.57,46.55,7,31692,77
756,37.42,90.92,14,59048,527
757,83.43,36.43,16,51855,152
758,14.15,59.35,2,46187,308
759,51.57,75.63,9,54103,391
760,22.36,82.55,13,42115,445
761,43.0,35.74,12,76896,122
762,90.08,51.09,6,45807,501
763,94.32,64.39,12,25443,443
764,7.06,70.54,10,44407,98
765,80.76,49.27,11,31680,389
766,47.17,71.45,3,31137,308
767,34.84,49.03,4,43193,210
768,78.05,36.83,3,42742,265
769,15.43,45.81,2,75903,102
770,52.67,47.44,14,26608,267
771,42.63,67.84,13,74399,321
772,96.9,70.16,7,50897,166
773,43.13,86.82,5,54611,387
774,17.28,42.4,17,63672,123
775,73.44,44.21,11,27252,244
776,60.26,85.95,6,59799,437
777,89.9,43.52,13,71402,461
778,68.91,48.78,9,36218,134
779,92.78,62.91,17,26956,190
780,21.62,70.92,4,36640,337
781,82.19,60.74,5,31205,531
782,57.43,50.72,15,68215,209
783,9.91,88.26,4,78086,374
784,31.77,52.58,13,51776,496
785,73.01,44.14,3,59212,291
786,14.71,71.67,8,36291,245
787,80.07,91.09,12,45227,163
788,20.73,49.97,13,60197,530
789,41.6,35.68,5,50895,63
790,85.13,73.58,11,34675,189
791,32.09,60.33,2,54864,434
792,49.56,89.34,13,48558,61
793,49.88,94.95,6,36877,401
794,39.38,64.48,8,32435,549
795,73.39,67.44,13,45825,374
796,57.58,67.44,16,48634,468
797,37.74,66.94,5,45788,109
798,51.94,66.22,13,38242,132
799,70.41,36.99,5,31530,537
800,73.29,81.0,4,58107,231
801,72.02,89.01,4,70983,384
802,63.09,71.91,11,58022,242
803,36.67,78.06,8,72170,174
804,80.72,54.35,8,76746,331
805,30.04,40.34,7,34302,291
806,56.68,63.03,13,49393,538
807,92.93,71.36,7,24546,89
808,92.43,58.57,5,24020,73
809,95.4,57.61,14,65852,554
810,90.43,55.78,6,79010,85
811,92.93,58.79,14,76741,114
812,13.57,60.55,4,26374,119
813,72.93,45.47,4,62443,483
814,42.55,46.14,13,44481,539
815,32.16,35.03,13,30480,528
816,85.84,36.68,13,64777,162
817,97.61,40.56,13,43768,310
818,19.74,56.43,7,42180,330
819,17.72,41.11,6,43670,295
820,56.06,69.52,6,54326,312
